epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8870314359664917,0.265080988407135,0.8805878758430481,0.9809004068374634,1.0,0.056923169642686844,1.0,1.0
1,0.9741641283035278,0.07979924976825714,0.9803122878074646,0.9849931597709656,1.0,0.014960786327719688,1.0,1.0
2,0.9873353838920593,0.042177315801382065,0.9904696941375732,0.9924966096878052,1.0,0.008340013213455677,1.0,1.0
3,0.9888551235198975,0.03747030347585678,0.9945205450057983,0.9904502034187317,1.0,0.004638376645743847,1.0,1.0
4,0.9898682832717896,0.031564828008413315,0.993852436542511,0.9924966096878052,0.9918032884597778,0.01651061326265335,1.0,0.9829059839248657
5,0.9949341416358948,0.02719014883041382,0.9972677826881409,0.9959072470664978,1.0,0.002528080716729164,1.0,1.0
6,0.9842958450317383,0.042925700545310974,0.9890933632850647,0.9897680878639221,0.9672130942344666,0.04197971150279045,1.0,0.9316239356994629
7,0.9944275617599487,0.021766357123851776,0.9965870380401611,0.9959072470664978,1.0,0.0030762755777686834,1.0,1.0
8,0.9944275617599487,0.014945216476917267,0.994561493396759,0.9979535937309265,1.0,0.0011819747742265463,1.0,1.0
9,0.9939209818840027,0.015455929562449455,0.9952316284179688,0.9965893626213074,1.0,0.0007633978966623545,1.0,1.0
10,0.9959473013877869,0.014995360746979713,0.9965940117835999,0.9979535937309265,1.0,0.0003995536535512656,1.0,1.0
11,0.9908814430236816,0.03454902768135071,0.9931880235671997,0.9945429563522339,1.0,0.002293243072926998,1.0,1.0
12,0.9939209818840027,0.017406433820724487,0.9959072470664978,0.9959072470664978,1.0,0.00081022665835917,1.0,1.0
13,0.9944275617599487,0.017020458355545998,0.9965870380401611,0.9959072470664978,0.9549180269241333,0.13931328058242798,0.9140625,1.0
14,0.9918946027755737,0.025018947198987007,0.9931972622871399,0.9959072470664978,1.0,0.0005213945987634361,1.0,1.0
15,0.9949341416358948,0.015283328481018543,0.9979479908943176,0.9952251315116882,1.0,0.0012609307887032628,1.0,1.0
16,0.9974671006202698,0.007856096141040325,0.9979550242424011,0.9986357688903809,0.9918032884597778,0.015977784991264343,1.0,0.9829059839248657
17,0.9974671006202698,0.00818796269595623,0.9979550242424011,0.9986357688903809,1.0,0.0003511469694785774,1.0,1.0
18,0.9974671006202698,0.011190752498805523,0.9979550242424011,0.9986357688903809,1.0,0.00021800221293233335,1.0,1.0
19,0.9979736804962158,0.010061264969408512,0.997956395149231,0.9993178844451904,1.0,0.001691651064902544,1.0,1.0
